date,entry_price,exit_price,profit,profit_pct,direction,holding_days,rank
2025-09-23 00:00:00+05:30,25672.89,24611.099609375,1061.7903906249994,4.135842870144341,SELL,5,1
2025-09-23 00:00:00+05:30,25672.89,24654.69921875,1018.1907812499994,3.9660154398277694,SELL,3,2
2025-09-23 00:00:00+05:30,25421.195,24611.099609375,810.0953906249997,3.186692799551712,SELL,5,3
2025-09-23 00:00:00+05:30,25672.89,24890.849609375,782.0403906249994,3.046172015012721,SELL,2,4
2025-09-23 00:00:00+05:30,25421.195,24654.69921875,766.4957812499997,3.0151839095290356,SELL,3,5
2025-09-23 00:00:00+05:30,25672.89,25056.900390625,615.9896093749994,2.39937774584396,SELL,1,6
2025-09-23 00:00:00+05:30,25169.5,24611.099609375,558.400390625,2.21855972754723,SELL,5,7
2025-09-23 00:00:00+05:30,25421.195,24890.849609375,530.3453906249997,2.0862331240722543,SELL,2,8
2025-09-23 00:00:00+05:30,25169.5,24654.69921875,514.80078125,2.045335748624327,SELL,3,9
2025-09-23 00:00:00+05:30,24666.11,25056.900390625,390.7903906249994,1.5843211216726085,BUY,1,10
2025-09-24 00:00:00+05:30,25558.0383984375,24634.900390625,923.1380078125003,3.611928245122821,SELL,3,1
2025-09-24 00:00:00+05:30,25558.0383984375,24654.69921875,903.3391796875003,3.5344620960532174,SELL,2,2
2025-09-24 00:00:00+05:30,25558.0383984375,24836.30078125,721.7376171875003,2.823916319147654,SELL,5,3
2025-09-24 00:00:00+05:30,25307.46939453125,24634.900390625,672.5690039062501,2.6575909010151255,SELL,3,4
2025-09-24 00:00:00+05:30,25558.0383984375,24890.849609375,667.1887890625003,2.6104851188551668,SELL,1,5
2025-09-24 00:00:00+05:30,25307.46939453125,24654.69921875,652.7701757812501,2.5793577603705757,SELL,2,6
2025-09-24 00:00:00+05:30,25307.46939453125,24836.30078125,471.16861328125015,1.8617768767629768,SELL,5,7
2025-09-24 00:00:00+05:30,25056.900390625,24634.900390625,422.0,1.6841668100252762,SELL,3,8
