date,close_price,ret_1,ret_5,momentum_10,ema_12,ema_26,macd,vol_10,vol_30,rsi_14,bb_position,best_action,expected_profit,confidence
2026-03-18 00:00:00+05:30,23777.80078125,0.008339304375208911,-0.00373106755111996,-0.028704447162026914,24032.467111677768,24590.67107342238,-558.2039617446135,0.013502610449910081,0.009875748132387003,28.81888426182087,0.2566880849615825,-1,7.177177249436608,1.0
2026-03-19 00:00:00+05:30,23002.150390625,-0.03262077926216955,-0.026946822938806902,-0.07121687369249285,23873.95684690042,24473.002874696653,-599.0460277962338,0.015357836963959273,0.011251800843026065,23.939028984046303,0.08479215414000789,-1,4.047119515585169,1.0
2026-03-20 00:00:00+05:30,23114.5,0.004884308965338757,-0.0015809015551113692,-0.05463904596589242,23757.11733199266,24372.373032126532,-615.2557001338719,0.01566659417199259,0.011356580677643524,27.466347012861632,0.15647439246385955,-1,5.282269593846324,1.0
2026-03-23 00:00:00+05:30,22512.650390625,-0.026037751600726855,-0.03828262707685559,-0.0630679701995438,23565.66087947456,24234.615799422718,-668.9549199481589,0.016615192971439124,0.01203152404888794,25.836668400888428,0.053754474090427336,1,5.6387880897597675,1.0
2026-03-24 00:00:00+05:30,22912.400390625,0.017756683156527453,-0.02835951549954363,-0.05561048077920849,23465.159265805396,24136.673917289554,-671.5146514841581,0.01764244005021636,0.012537864766353766,33.945248026018206,0.186716576760491,-1,4.4468086212018925,1.0
2026-03-25 00:00:00+05:30,23306.44921875,0.01719805962740728,-0.019823177376087853,-0.023480283313339845,23440.74233548918,24075.175791471807,-634.4334559826275,0.01853757473741479,0.013072677806487194,35.38282595164142,0.31331454001437636,-1,6.06235386076279,1.0
2026-03-27 00:00:00+05:30,22819.599609375,-0.02088905112938999,-0.007936248487637187,-0.03466921474364937,23345.181916087,23982.170148353525,-636.9882322665253,0.019364639646045397,0.01342427155904468,34.20835339609431,0.19879081246134628,-1,4.058221136641467,1.0
2026-03-30 00:00:00+05:30,22331.400390625,-0.02139385559374285,-0.033879149857232504,-0.03540649181164868,23189.215527554385,23859.890907040302,-670.6753794859178,0.019440158792703246,0.013786047692049806,33.77791854047672,0.08428094584026691,1,9.653183453813954,1.0
2026-04-01 00:00:00+05:30,22679.400390625,0.015583438293735208,0.007406946632522615,-0.031159237820043928,23110.78242956525,23772.447165083613,-661.6647355183632,0.019857124618251277,0.014175605299950015,35.196208000070186,0.2116421398171843,1,6.970666358007163,1.0
2026-04-02 00:00:00+05:30,22713.099609375,0.0014858954897207788,-0.008698380695701724,-0.03681121433308465,23049.600457228287,23693.976975771864,-644.3765185435768,0.019602295380545132,0.01402918354203213,38.422784724786354,0.2429142296462074,1,8.049665589024132,1.0
2026-04-06 00:00:00+05:30,22968.25,0.01123362266767347,-0.014510971430084618,-0.03404649524561465,23037.085002270087,23640.219422010985,-603.134419740898,0.019817848980656614,0.01426900598549712,43.30478666403147,0.35208257422589123,1,6.612786947798622,1.0
2026-04-07 00:00:00+05:30,23123.650390625,0.0067658785769486585,0.013324106752735876,0.005282114843033092,23050.40275432469,23601.95504931573,-551.552294991041,0.017060764657085933,0.014335296792598902,49.706591686861884,0.4320458201261062,1,6.928692944385001,1.0
