date,entry_price,exit_price,profit,profit_pct,direction,holding_days,rank
2026-03-18 00:00:00+05:30,24253.356796875,22512.650390625,1740.7064062499994,7.177177249436608,SELL,3,1
2026-03-18 00:00:00+05:30,24015.5787890625,22512.650390625,1502.9283984374997,6.258139400421128,SELL,3,2
2026-03-18 00:00:00+05:30,23777.80078125,22512.650390625,1265.150390625,5.320720794425341,SELL,3,3
2026-03-18 00:00:00+05:30,24253.356796875,23002.150390625,1251.2064062499994,5.1588999276636835,SELL,1,4
2026-03-18 00:00:00+05:30,24253.356796875,23114.5,1138.8567968749994,4.695666692297781,SELL,2,5
2026-03-19 00:00:00+05:30,23462.1933984375,22512.650390625,949.5430078124991,4.047119515585169,SELL,2,1
2026-03-19 00:00:00+05:30,23232.17189453125,22512.650390625,719.5215039062496,3.097090995937499,SELL,2,2
2026-03-19 00:00:00+05:30,23462.1933984375,22819.599609375,642.5937890624991,2.7388478909448155,SELL,5,3
2026-03-19 00:00:00+05:30,22542.1073828125,23114.5,572.3926171874991,2.5392152005447666,BUY,1,4
2026-03-19 00:00:00+05:30,23462.1933984375,22912.400390625,549.7930078124991,2.343314618867277,SELL,3,5
2026-03-20 00:00:00+05:30,23576.79,22331.400390625,1245.3896093750009,5.282269593846324,SELL,5,1
2026-03-20 00:00:00+05:30,23576.79,22512.650390625,1064.1396093750009,4.513505058894789,SELL,1,2
2026-03-20 00:00:00+05:30,23345.645,22331.400390625,1014.2446093750004,4.3444702828943065,SELL,5,3
2026-03-20 00:00:00+05:30,23345.645,22512.650390625,832.9946093750004,3.568094217893746,SELL,1,4
2026-03-20 00:00:00+05:30,23114.5,22331.400390625,783.099609375,3.387914985723247,SELL,5,5
2026-03-23 00:00:00+05:30,22062.397382812498,23306.44921875,1244.051835937502,5.6387880897597675,BUY,2,1
2026-03-23 00:00:00+05:30,22287.52388671875,23306.44921875,1018.9253320312491,4.571729624206626,BUY,2,2
2026-03-23 00:00:00+05:30,22062.397382812498,22912.400390625,850.0030078125019,3.852722771074229,BUY,1,3
2026-03-23 00:00:00+05:30,22512.650390625,23306.44921875,793.798828125,3.5260123279645637,BUY,2,4
2026-03-23 00:00:00+05:30,22062.397382812498,22819.599609375,757.2022265625019,3.432094044105982,BUY,3,5
2026-03-24 00:00:00+05:30,23370.6483984375,22331.400390625,1039.2480078125009,4.4468086212018925,SELL,3,1
2026-03-24 00:00:00+05:30,22454.1523828125,23306.44921875,852.2968359375009,3.7957203701436106,BUY,1,2
2026-03-24 00:00:00+05:30,23141.52439453125,22331.400390625,810.1240039062504,3.5007374194316125,SELL,3,3
2026-03-24 00:00:00+05:30,23370.6483984375,22713.099609375,657.5487890625009,2.8135667348727167,SELL,5,4
2026-03-24 00:00:00+05:30,22683.27638671875,23306.44921875,623.1728320312504,2.7472787502431677,BUY,1,5
2026-03-25 00:00:00+05:30,23772.578203125002,22331.400390625,1441.177812500002,6.06235386076279,SELL,2,1
2026-03-25 00:00:00+05:30,23539.5137109375,22331.400390625,1208.1133203124991,5.132278156413895,SELL,2,2
2026-03-25 00:00:00+05:30,23772.578203125002,22679.400390625,1093.177812500002,4.598482348693249,SELL,3,3
2026-03-25 00:00:00+05:30,23306.44921875,22331.400390625,975.048828125,4.183600937978038,SELL,2,4
2026-03-25 00:00:00+05:30,23772.578203125002,22819.599609375,952.9785937500019,4.008730502881379,SELL,1,5
2026-03-27 00:00:00+05:30,23275.991601562502,22331.400390625,944.5912109375022,4.058221136641467,SELL,1,1
2026-03-27 00:00:00+05:30,22363.207617187498,23123.650390625,760.4427734375022,3.4004190564016192,BUY,5,2
2026-03-27 00:00:00+05:30,23047.79560546875,22331.400390625,716.3952148437493,3.1083025340339447,SELL,1,3
2026-03-27 00:00:00+05:30,23275.991601562502,22679.400390625,596.5912109375022,2.5631183459331264,SELL,2,4
