Datetime,Close,High,Low,Open,Volume,EMA_9,EMA_21,ADX_14,DMP_14,DMN_14,SUPERT_10_3.0,SUPERTd_10_3.0,SUPERTl_10_3.0,SUPERTs_10_3.0,RSI_14,STOCHk_14_3_3,STOCHd_14_3_3,CCI_20,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Support,Resistance,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATR_14,Volume_MA_20,VWAP,OBV,Volume_Spike,Close,High,Low,Open,Volume,Bullish,Bearish
2025-04-24 09:15:00+05:30,1609.0,1612.0,1604.5,1612.0,0,1613.9333360460068,1615.4761904761904,19.84044784619848,17.673758770451833,19.45003716162482,0.0,1,1599.8399780273437,1631.6360119552812,55.04797675988146,40.14747876941944,55.83021638211047,220.58819703420224,2.5821062612160404,-0.6612355089009978,3.243341770117038,1604.5,1623.0,1607.6279964098658,1615.025,1622.4220035901344,0.9160234163724175,1.1472198822985527,4.457162039620536,4268.8,1610.2666829427083,0.0,0,1609.0,1612.0,1604.5,1612.0,0,0.0,0.0
2025-04-24 09:16:00+05:30,1612.0,1612.0,1606.800048828125,1608.9000244140625,8907,1613.9333360460068,1615.4761904761904,19.84044784619848,17.673758770451833,19.45003716162482,1599.8399780273437,1,1599.8399780273437,1631.6360119552812,55.04797675988146,40.14747876941944,55.83021638211047,220.58819703420224,2.5821062612160404,-0.6612355089009978,3.243341770117038,1604.5,1623.0,1607.6279964098658,1615.025,1622.4220035901344,0.9160234163724175,1.1472198822985527,4.457162039620536,4268.8,1610.2666829427083,8907.0,0,1612.0,1612.0,1606.800048828125,1608.9000244140625,8907,0.0,0.0
2025-04-24 09:17:00+05:30,1621.300048828125,1623.0,1615.0999755859375,1615.0999755859375,13199,1613.9333360460068,1615.4761904761904,19.84044784619848,17.673758770451833,19.45003716162482,1599.8399780273437,1,1599.8399780273437,1631.6360119552812,55.04797675988146,40.14747876941944,55.83021638211047,220.58819703420224,2.5821062612160404,-0.6612355089009978,3.243341770117038,1604.5,1623.0,1607.6279964098658,1615.025,1622.4220035901344,0.9160234163724175,1.1472198822985527,4.457162039620536,4268.8,1615.9588189805681,22106.0,0,1621.300048828125,1623.0,1615.0999755859375,1615.0999755859375,13199,0.0,0.0
2025-04-24 09:18:00+05:30,1612.199951171875,1616.0,1609.9000244140625,1616.0,8037,1613.9333360460068,1615.4761904761904,19.84044784619848,17.673758770451833,19.45003716162482,1599.8399780273437,1,1599.8399780273437,1631.6360119552812,55.04797675988146,40.14747876941944,55.83021638211047,220.58819703420224,2.5821062612160404,-0.6612355089009978,3.243341770117038,1604.5,1623.0,1607.6279964098658,1615.025,1622.4220035901344,0.9160234163724175,1.1472198822985527,4.457162039620536,4268.8,1615.0899209428114,14069.0,0,1612.199951171875,1616.0,1609.9000244140625,1616.0,8037,0.0,0.0
2025-04-24 09:19:00+05:30,1615.300048828125,1615.300048828125,1613.4000244140625,1614.199951171875,5198,1613.9333360460068,1615.4761904761904,19.84044784619848,17.673758770451833,19.45003716162482,1599.8399780273437,1,1599.8399780273437,1631.6360119552812,55.04797675988146,40.14747876941944,55.83021638211047,220.58819703420224,2.5821062612160404,-0.6612355089009978,3.243341770117038,1604.5,1623.0,1607.6279964098658,1615.025,1622.4220035901344,0.9160234163724175,1.1472198822985527,4.457162039620536,4268.8,1615.0276741410728,19267.0,0,1615.300048828125,1615.300048828125,1613.4000244140625,1614.199951171875,5198,0.0,0.0
2025-04-24 09:20:00+05:30,1612.0,1614.800048828125,1611.0,1614.800048828125,6693,1613.9333360460068,1615.4761904761904,19.84044784619848,17.673758770451833,19.45003716162482,1599.8399780273437,1,1599.8399780273437,1631.6360119552812,55.04797675988146,40.14747876941944,55.83021638211047,220.58819703420224,2.5821062612160404,-0.6612355089009978,3.243341770117038,1604.5,1623.0,1607.6279964098658,1615.025,1622.4220035901344,0.9160234163724175,1.1472198822985527,4.457162039620536,4268.8,1614.6411224426704,12574.0,0,1612.0,1614.800048828125,1611.0,1614.800048828125,6693,100.0,0.0
2025-04-24 09:21:00+05:30,1612.0,1615.0,1611.9000244140625,1612.4000244140625,2799,1613.9333360460068,1615.4761904761904,19.84044784619848,17.673758770451833,19.45003716162482,1599.8399780273437,1,1599.8399780273437,1631.6360119552812,55.04797675988146,40.14747876941944,55.83021638211047,220.58819703420224,2.5821062612160404,-0.6612355089009978,3.243341770117038,1604.5,1623.0,1607.6279964098658,1615.025,1622.4220035901344,0.9160234163724175,1.1472198822985527,4.457162039620536,4268.8,1614.5365838452374,12574.0,0,1612.0,1615.0,1611.9000244140625,1612.4000244140625,2799,100.0,0.0
2025-04-24 09:22:00+05:30,1615.0999755859375,1615.9000244140625,1610.0,1612.0,5863,1613.9333360460068,1615.4761904761904,19.84044784619848,17.673758770451833,19.45003716162482,1599.8399780273437,1,1599.8399780273437,1631.6360119552812,55.04797675988146,40.14747876941944,55.83021638211047,220.58819703420224,2.5821062612160404,-0.6612355089009978,3.243341770117038,1604.5,1623.0,1607.6279964098658,1615.025,1622.4220035901344,0.9160234163724175,1.1472198822985527,4.457162039620536,4268.8,1614.4359777931236,18437.0,0,1615.0999755859375,1615.9000244140625,1610.0,1612.0,5863,80.0,0.0
2025-04-24 09:23:00+05:30,1616.5,1617.5999755859375,1613.9000244140625,1615.699951171875,3524,1613.9333360460068,1615.4761904761904,19.84044784619848,17.673758770451833,19.45003716162482,1599.8399780273437,1,1599.8399780273437,1631.6360119552812,55.04797675988146,40.14747876941944,55.83021638211047,220.58819703420224,2.5821062612160404,-0.6612355089009978,3.243341770117038,1604.5,1623.0,1607.6279964098658,1615.025,1622.4220035901344,0.9160234163724175,1.1472198822985527,4.457162039620536,4268.8,1614.5376305828145,21961.0,0,1616.5,1617.5999755859375,1613.9000244140625,1615.699951171875,3524,200.0,0.0
2025-04-24 09:24:00+05:30,1615.199951171875,1617.300048828125,1614.800048828125,1616.0999755859375,2830,1614.1866590711804,1615.4761904761904,19.84044784619848,17.673758770451833,19.45003716162482,1599.8399780273437,1,1599.8399780273437,1631.6360119552812,55.04797675988146,40.14747876941944,55.83021638211047,220.58819703420224,2.5821062612160404,-0.6612355089009978,3.243341770117038,1604.5,1623.0,1607.6279964098658,1615.025,1622.4220035901344,0.9160234163724175,1.1472198822985527,4.457162039620536,4268.8,1614.5985984737608,19131.0,0,1615.199951171875,1617.300048828125,1614.800048828125,1616.0999755859375,2830,100.0,0.0
