date,price,action,confidence,expected_profit,quantity,position,cash,portfolio_value,pnl
2026-03-16 00:00:00+05:30,23408.80078125,-1,0.6893040076933592,5.743896108502975,0,0.0,100000.0,100000.0,0.0
2026-03-17 00:00:00+05:30,23581.150390625,-1,0.6794805191453406,5.878918118826244,0,0.0,100000.0,100000.0,0.0
2026-03-18 00:00:00+05:30,23777.80078125,1,0.7278109890977842,5.4757990804669285,0,0.1261681022395331,97000.0,100000.0,0.0
2026-03-19 00:00:00+05:30,23002.150390625,1,0.5891888467935831,5.63468207420143,0,0.2526780132948938,94090.0,99902.13766221348,-97.86233778651513
2026-03-20 00:00:00+05:30,23114.5,1,0.6868618915592448,5.674768754059949,0,0.37479616423910633,91267.3,99930.52593830483,-69.4740616951749
2026-03-23 00:00:00+05:30,22512.650390625,-1,0.5163008656792458,6.315053987449344,0,0.18739808211955317,95486.12750663114,99704.95501326227,-295.04498673773196
2026-03-24 00:00:00+05:30,22912.400390625,-1,0.7194218132354804,6.697949136888198,0,0.09369904105977658,97632.99745161035,99779.86739658957,-220.1326034104277
2026-03-25 00:00:00+05:30,23306.44921875,-1,0.5802946241555593,6.503517762016527,0,0.04684952052988829,98724.89342276298,99816.7893939156,-183.21060608439439
2026-03-27 00:00:00+05:30,22819.599609375,1,0.7230644191211064,5.994610216729952,0,0.17663912479034655,95763.1466200801,99793.98072314623,-206.01927685376722
2026-03-30 00:00:00+05:30,22331.400390625,1,0.5203995185303883,6.720996718922914,0,0.3052873218737896,92890.25222147768,99707.74564042289,-292.25435957711306
2026-04-01 00:00:00+05:30,22679.400390625,1,0.7185530036287401,6.238190546503004,0,0.4281612743878196,90103.54465483336,99813.98562843497,-186.0143715650338
2026-04-02 00:00:00+05:30,22713.099609375,1,0.6163848346705783,6.372192068660063,0,0.5471721705725602,87400.43831518835,99828.41432888084,-171.5856711191591
2026-04-06 00:00:00+05:30,22968.25,-1,0.5554357091156981,6.491152693497541,0,0.2735860852862801,93684.23191856495,99968.02552194156,-31.97447805844422
2026-04-07 00:00:00+05:30,23123.650390625,1,0.7101844398635806,5.775188820069438,0,0.39512947960677275,90873.704961008,100010.54090646461,10.54090646460827
2026-04-08 00:00:00+05:30,23997.349609375,1,0.8976064678385522,4.585040733893782,0,0.5087341565068082,88147.49381217777,100355.76522410214,355.7652241021424
2026-04-09 00:00:00+05:30,23775.099609375,1,0.9192911256542993,4.370182164770372,0,0.619960812033525,85503.06899781243,100242.69905781849,242.6990578184923
2026-04-10 00:00:00+05:30,24050.599609375,1,0.8968644497524578,3.9785561381233556,0,0.7266147878842765,82937.97692787806,100413.49826153374,413.4982615337358
2026-04-13 00:00:00+05:30,23842.650390625,1,0.751353965263559,4.1379679137139105,0,0.8309714456833056,80449.83762004171,100262.399284061,262.3992840610008
2026-04-15 00:00:00+05:30,24231.30078125,1,0.7390044665961659,3.9444833810334408,0,0.9305738215684993,78036.34249144046,100585.35666102404,585.3566610240377
2026-04-16 00:00:00+05:30,24196.75,-1,0.6365880613344517,4.479790175633888,0,0.46528691078424966,89294.77354995925,100553.20460847804,553.204608478045
2026-04-17 00:00:00+05:30,24353.55078125,-1,0.5272509633875578,4.005825775199476,0,0.23264345539212483,94960.46775477684,100626.16195959442,626.1619595944212
2026-04-20 00:00:00+05:30,24364.849609375,-1,0.5426382302876276,4.025926033238041,0,0.11632172769606242,97794.62915639408,100628.7905580113,628.7905580113002
2026-04-21 00:00:00+05:30,24576.599609375,-1,0.5733217339712525,3.746685808442043,0,0.05816086384803121,99224.02542012252,100653.42168385096,653.4216838509601
2026-04-22 00:00:00+05:30,24378.099609375,-1,0.8031865814496092,4.184087976399862,0,0.029080431924015604,99932.95108624981,100641.87675237711,641.8767523771094
2026-04-23 00:00:00+05:30,24173.05078125,-1,0.911216157551139,3.803696428755244,0,0.014540215962007802,100284.43246506977,100635.91384388972,635.9138438897207
2026-04-24 00:00:00+05:30,23897.94921875,-1,0.9201476820037745,4.20856420879839,0,0.007270107981003901,100458.17313641463,100631.91380775948,631.9138077594835
2026-04-27 00:00:00+05:30,24092.69921875,-1,0.9317580522099547,4.176043239859522,0,0.0036350539905019505,100545.7513988517,100633.32966128878,633.3296612887789
2026-04-28 00:00:00+05:30,23995.69921875,-1,0.9232185332099639,4.310024822955968,0,0.0018175269952509752,100589.36422995171,100632.97706105172,632.9770610517153
2026-04-29 00:00:00+05:30,24177.650390625,-1,0.8581043693977668,3.7973133071325558,0,0.0009087634976254876,100611.33599608506,100633.30776221842,633.307762218421
2026-04-30 00:00:00+05:30,23997.55078125,-1,0.7867976288260343,3.768271192269663,0,0.0004543817488127438,100622.24004517627,100633.14409426747,633.1440942674672
