date,close,predicted_return,action,cash,position,portfolio_value
2026-04-08 00:00:00+05:30,23997.349609375,0.003516182731997663,1,0.0,4.167126854747876,100000.0
2026-04-09 00:00:00+05:30,23775.099609375,0.010296722608460799,1,0.0,4.167126854747876,99073.8560565323
2026-04-10 00:00:00+05:30,24050.599609375,0.007600824682615702,1,0.0,4.167126854747876,100221.89950501533
2026-04-13 00:00:00+05:30,23842.650390625,0.008842217389630164,1,0.0,4.167126854747876,99355.34873113837
2026-04-15 00:00:00+05:30,24231.30078125,0.008064575724584345,1,0.0,4.167126854747876,100974.90421102005
2026-04-16 00:00:00+05:30,24196.75,0.012723884661452313,1,0.0,4.167126854747876,100830.92672262066
2026-04-17 00:00:00+05:30,24353.55078125,0.01026067266191406,1,0.0,4.167126854747876,101484.33546901298
2026-04-20 00:00:00+05:30,24364.849609375,0.00993419447710721,1,0.0,4.167126854747876,101531.41911911985
2026-04-21 00:00:00+05:30,24576.599609375,0.008422830423113118,1,0.0,4.167126854747876,102413.80823061272
2026-04-22 00:00:00+05:30,24378.099609375,0.006284727894529274,1,0.0,4.167126854747876,101586.63354994525
2026-04-23 00:00:00+05:30,24173.05078125,0.00018021401237524118,0,0.0,4.167126854747876,100732.169071731
2026-04-24 00:00:00+05:30,23897.94921875,0.0035066768916789306,1,0.0,4.167126854747876,99585.78596285413
2026-04-27 00:00:00+05:30,24092.69921875,0.0015474411000101207,1,0.0,4.167126854747876,100397.33391781629
2026-04-28 00:00:00+05:30,23995.69921875,0.0042879043747389685,1,0.0,4.167126854747876,99993.12261290575
2026-04-29 00:00:00+05:30,24177.650390625,0.006161937645893505,1,0.0,4.167126854747876,100751.33622747891
