date,close,predicted_return,action,cash,position,portfolio_value
2026-03-13 00:00:00+05:30,23151.099609375,-0.008279262065834835,-1,100000.0,0.0,100000.0
2026-03-16 00:00:00+05:30,23408.80078125,-0.008128870618884884,-1,100000.0,0.0,100000.0
2026-03-17 00:00:00+05:30,23581.150390625,-0.009260671986116988,-1,100000.0,0.0,100000.0
2026-03-18 00:00:00+05:30,23777.80078125,-0.008181481007886541,-1,100000.0,0.0,100000.0
2026-03-19 00:00:00+05:30,23002.150390625,-0.008539429450629805,-1,100000.0,0.0,100000.0
2026-03-20 00:00:00+05:30,23114.5,-0.008741379906855662,-1,100000.0,0.0,100000.0
2026-03-23 00:00:00+05:30,22512.650390625,-0.009054876639840117,-1,100000.0,0.0,100000.0
2026-03-24 00:00:00+05:30,22912.400390625,-0.010176884359067372,-1,100000.0,0.0,100000.0
2026-03-25 00:00:00+05:30,23306.44921875,-0.0069362207236703735,-1,100000.0,0.0,100000.0
2026-03-27 00:00:00+05:30,22819.599609375,-0.00770054738455241,-1,100000.0,0.0,100000.0
2026-03-30 00:00:00+05:30,22331.400390625,-0.008698548920374539,-1,100000.0,0.0,100000.0
2026-04-01 00:00:00+05:30,22679.400390625,-0.008319843022649131,-1,100000.0,0.0,100000.0
2026-04-02 00:00:00+05:30,22713.099609375,-0.009493870561621272,-1,100000.0,0.0,100000.0
2026-04-06 00:00:00+05:30,22968.25,-0.009667229085249458,-1,100000.0,0.0,100000.0
2026-04-07 00:00:00+05:30,23123.650390625,-0.005352391361030828,-1,100000.0,0.0,100000.0
2026-04-08 00:00:00+05:30,23997.349609375,-0.003631443359680606,-1,100000.0,0.0,100000.0
2026-04-09 00:00:00+05:30,23775.099609375,-0.0029920374005593595,-1,100000.0,0.0,100000.0
2026-04-10 00:00:00+05:30,24050.599609375,0.003358715812494237,1,0.0,4.157900494132366,100000.0
2026-04-13 00:00:00+05:30,23842.650390625,0.0018773869474499603,1,0.0,4.157900494132366,99135.36784060493
2026-04-15 00:00:00+05:30,24231.30078125,0.004038431812823842,1,0.0,4.157900494132366,100751.33749182936
2026-04-16 00:00:00+05:30,24196.75,0.002553896579909432,1,0.0,4.157900494132366,100607.67878139732
2026-04-17 00:00:00+05:30,24353.55078125,0.0030853221745583566,1,0.0,4.157900494132366,101259.64082723705
2026-04-20 00:00:00+05:30,24364.849609375,0.0029105674960017616,1,0.0,4.157900494132366,101306.6202302811
2026-04-21 00:00:00+05:30,24576.599609375,0.002902729639889114,1,0.0,4.157900494132366,102187.05565991362
2026-04-22 00:00:00+05:30,24378.099609375,0.001918124112442703,1,0.0,4.157900494132366,101361.71241182835
2026-04-23 00:00:00+05:30,24173.05078125,0.0014944774726424442,1,0.0,4.157900494132366,100509.13978804614
2026-04-24 00:00:00+05:30,23897.94921875,-0.0018203435488036224,-1,99365.29486539081,0.0,99365.29486539081
2026-04-27 00:00:00+05:30,24092.69921875,0.0009503907673109445,0,99365.29486539081,0.0,99365.29486539081
2026-04-28 00:00:00+05:30,23995.69921875,0.0005260658697962315,0,99365.29486539081,0.0,99365.29486539081
2026-04-29 00:00:00+05:30,24177.650390625,0.0022040808340842138,1,0.0,4.109799474307899,99365.29486539081
