,actual,predicted
0,1891.5000072717667,1892.503831744194
1,1892.5999698638916,1893.2939789295197
2,1889.9000290632248,1893.9892694950104
3,1884.000003695488,1894.6650812625885
4,1886.199954509735,1895.4797050952911
5,1890.9999916553497,1896.186939239502
6,1917.5999817848206,1896.8661085367203
7,1918.6999443769455,1898.8779351711273
8,1918.9999947547913,1901.0426959991455
9,1938.0999813079834,1903.1749579906464
10,1940.9999898672104,1905.9575299024582
11,1941.999995470047,1909.0192124843597
12,1937.9999986886978,1912.2563836574554
13,1946.9999978542328,1915.2273616790771
14,1939.0000042915344,1918.033103108406
15,1946.500007867813,1920.6380591392517
16,1946.300042629242,1923.0319521427155
17,1946.8000582456589,1925.5141917467117
18,1944.4000140428543,1927.7882132530212
19,1945.9999922513962,1929.983986377716
20,1974.1999605894089,1931.9945315122604
21,1984.0000001192093,1935.7737258672714
22,1980.00000333786,1939.8284170627594
23,1982.8000549077988,1943.5986152887344
24,1980.4999933242798,1946.988900065422
25,1959.9000368118286,1950.0231585502625
26,1941.3000402450562,1953.2989284992218
27,1946.500007867813,1956.349846482277
28,1954.9999914169312,1958.8920090198517
29,1946.9000152349472,1960.9531477689743
30,1954.0000114440918,1962.5598666667938
31,1950.999994635582,1963.7412557601929
32,1949.19994866848,1964.6233377456665
33,1954.9999914169312,1965.2936903238297
34,1955.500007033348,1966.1859217882156
35,1961.0999820232391,1967.2185543775558
36,1968.4000203609467,1968.4318784475327
37,1969.8000589609146,1969.7353175878525
38,1966.300052165985,1971.1729041337967
39,1975.09998357296,1972.4958733320236
40,1983.400027513504,1973.9078555107117
41,1984.8000404834747,1975.666150212288
42,1972.999989748001,1977.6622912883759
43,1967.8000477552414,1979.6068135499954
44,1977.5000021457672,1981.357547402382
45,1981.599981546402,1983.0177048444748
46,1982.9999945163727,1984.5382556915283
47,1977.9000351428986,1986.0400710105896
48,1977.5999847650528,1987.6436630487442
49,1984.9000231027603,1989.1403267383575
50,1978.3000425100327,1990.6010315418243
51,1980.3000537157059,1992.0946196317673
52,1983.1999597549438,1993.5241070985794
53,1980.699958562851,1994.8891351222992
54,1985.40001308918,1996.2466535568237
55,1982.500004529953,1997.6009426116943
56,1986.0000113248825,1998.9600244760513
57,2007.8000411987305,2000.2814815044403
58,2017.0000056028366,2003.343189716339
59,2007.4000338315964,2006.0329554080963
60,1994.3000552654266,2008.689709663391
61,1984.499990105629,2011.1338630914688
62,1993.499989271164,2013.292857170105
63,1986.800051689148,2015.0717071294785
64,1986.9000343084335,2016.524492263794
65,1984.0000001192093,2017.5868043899536
66,1990.0000081062317,2018.309877872467
67,1988.800037264824,2018.5381898880005
68,1972.1999493837357,2018.8624093532562
69,1964.9000135660172,2019.3310794830322
70,1969.4000259637833,2019.517665863037
71,1972.999989748001,2019.7080454826355
72,1975.6999561786652,2019.9400482177734
73,1979.4999877214432,2020.269701242447
74,1976.5999791622162,2020.513955116272
75,1975.6999561786652,2020.728273153305
76,1978.9999977350235,2020.8502719402313
77,1984.0999827384949,2020.8064959049225
78,1979.6999529600143,2020.7549796104431
79,1980.4000363349915,2020.4047713279724
80,1971.9000271558762,2019.786268234253
81,1964.9999961853027,2018.5070238113403
82,1972.999989748001,2017.5668642520905
83,1974.3000457286835,2016.802834033966
84,1968.099969983101,2016.1029044389725
85,1976.000006556511,2015.4444698095322
86,1972.4000171422958,2014.7756806612015
87,1977.0999691486359,2014.4054553508759
88,1969.900015950203,2014.3149814605713
89,1966.099984407425,2014.3079332113266
90,1971.699959397316,2014.3603465557098
91,1969.900015950203,2014.414784669876
92,1967.9999873638153,2014.4634047746658
93,1970.4999885559082,2014.459380865097
94,1973.0999723672867,2014.347608447075
95,1973.500005364418,2014.1903171539307
96,1977.0000121593475,2013.9546749591827
97,1969.9999985694885,2013.6702332496643
98,1967.000007390976,2013.3062360286713
99,1948.6999586820602,2012.8975913524628
100,1953.4000132083893,2012.5005826950073
101,1959.6999434232712,2011.9263682365417
102,1963.0000106096268,2011.3209364414215
103,1962.8000453710556,2010.8748463392258
104,1972.9000327587128,2010.4839119911194
105,1969.0999755859375,2010.1402393579483
106,1972.0000097751617,2009.8454687595367
107,1977.5000021457672,2009.438310623169
108,1977.300036907196,2009.1309813261032
109,1981.999988913536,2009.0009603500366
110,1982.900011897087,2008.8050190210342
111,1982.5999871492386,2008.6535713672638
112,1986.0999683141708,2008.4255412817001
113,1987.9999969005585,2008.0643377304077
114,1994.0000048875809,2007.5464580059052
115,1986.0000113248825,2006.9870064258575
116,1981.3000593185425,2006.2414041757584
117,1977.999992132187,2005.157588481903
118,1975.0000009536743,2003.1034210920334
119,1966.5999743938446,2001.9047317504883
120,1971.5999767780304,2000.938532114029
121,1972.999989748001,2000.144002199173
122,1971.4000371694565,1999.5323679447174
123,1968.300037741661,1999.0459874868393
124,1964.4000235795975,1998.5933104753494
125,1963.099967598915,1998.2042471170425
126,1961.3000497817993,1997.7207372188568
127,1957.0000026226044,1997.1806362867355
128,1955.9999970197678,1996.8093601465225
129,1962.9000279903412,1996.2204596996307
130,1962.4999949932098,1995.8083037137985
131,1961.800039768219,1995.4766515493393
132,1958.000008225441,1995.1103732585907
133,1961.3000497817993,1994.7263333797455
134,1962.199944615364,1994.3699226379395
135,1962.199944615364,1993.9832684993744
136,1966.499991774559,1993.6118898391724
137,1964.4000235795975,1993.2535824775696
138,1967.5999799966812,1992.8851512670517
139,1973.9999953508377,1992.7088681459427
140,1964.9999961853027,1992.6570442914963
141,1961.0999820232391,1992.5509104728699
142,1959.999993801117,1992.4535933732986
143,1955.4000244140625,1992.3568145036697
144,1954.9999914169312,1992.2958920001984
145,1954.6999410390854,1992.1902964115143
146,1954.400018811226,1992.0612493753433
147,1960.8000597953796,1991.860669016838
148,1956.9000200033188,1991.8191484212875
149,1964.0999732017517,1991.70742726326
150,1958.199947834015,1991.645351409912
151,1954.0000114440918,1991.525095462799
152,1952.0999828577042,1991.332819223404
153,1957.0000026226044,1991.1262670755386
154,1954.9999914169312,1990.859715104103
155,1955.9999970197678,1990.5233982801437
156,1943.4999910593033,1990.1260820627213
157,1945.0000122785568,1989.8152158260345
158,1944.49999666214,1989.5045289993286
159,1949.6999386548996,1989.1522446870804
160,1947.6999530792236,1988.7950650453568
161,1955.9999970197678,1988.5520926713943
162,1951.6999498605728,1988.393878698349
163,1951.6999498605728,1988.1277624368668
164,1954.8000518083572,1987.7640471458435
165,1949.0999660491943,1987.3157016038895
166,1949.9999890327454,1986.818454027176
167,1954.0000114440918,1986.2862471342087
