Datetime,Close,High,Low,Open,Volume
2025-04-08 09:15:00+05:30,780.9000244140625,781.9500122070312,773.0499877929688,773.0499877929688,0
2025-04-08 09:16:00+05:30,775.8499755859375,780.5,775.8499755859375,778.9500122070312,8622
2025-04-08 09:17:00+05:30,774.7000122070312,776.9500122070312,773.0499877929688,776.9500122070312,1942
2025-04-08 09:18:00+05:30,771.5499877929688,774.7000122070312,771.5499877929688,774.7000122070312,1743
2025-04-08 09:19:00+05:30,769.9500122070312,771.3499755859375,769.9500122070312,770.7000122070312,1116
2025-04-08 09:20:00+05:30,766.1500244140625,769.0,766.1500244140625,769.0,2005
2025-04-08 09:21:00+05:30,771.9000244140625,778.4000244140625,769.0499877929688,769.0499877929688,6974
2025-04-08 09:22:00+05:30,785.0,785.0,775.4500122070312,775.5,7394
2025-04-08 09:23:00+05:30,780.0,784.6500244140625,779.9500122070312,784.6500244140625,6686
2025-04-08 09:24:00+05:30,776.2000122070312,779.6500244140625,776.1500244140625,779.5499877929688,1142
2025-04-08 09:25:00+05:30,777.5999755859375,777.5999755859375,775.5,776.1500244140625,725
2025-04-08 09:26:00+05:30,778.0,779.4000244140625,777.9500122070312,779.4000244140625,826
2025-04-08 09:27:00+05:30,777.0,778.2000122070312,775.5499877929688,777.9000244140625,809
2025-04-08 09:28:00+05:30,775.5,776.5,775.0999755859375,775.0999755859375,366
2025-04-08 09:29:00+05:30,777.4000244140625,777.4000244140625,775.0999755859375,775.0999755859375,422
2025-04-08 09:30:00+05:30,776.75,776.75,775.5,776.0,507
2025-04-08 09:31:00+05:30,775.5999755859375,777.9500122070312,775.5999755859375,777.5499877929688,492
2025-04-08 09:32:00+05:30,774.0,775.0,774.0,775.0,1851
2025-04-08 09:33:00+05:30,767.8499755859375,772.0499877929688,767.8499755859375,772.0499877929688,1154
2025-04-08 09:34:00+05:30,768.0,768.9000244140625,763.5,764.0,4566
2025-04-08 09:35:00+05:30,766.9000244140625,768.0,765.6500244140625,768.0,543
