Datetime,Close,High,Low,Open,Volume
2025-04-08 09:15:00+05:30,1433.300048828125,1433.300048828125,1420.0,1420.0,0
2025-04-08 09:16:00+05:30,1425.050048828125,1433.25,1425.0,1433.25,4911
2025-04-08 09:17:00+05:30,1424.4000244140625,1426.0,1424.4000244140625,1425.699951171875,366
2025-04-08 09:18:00+05:30,1418.550048828125,1425.199951171875,1418.550048828125,1425.199951171875,612
2025-04-08 09:19:00+05:30,1421.5,1423.5,1415.3499755859375,1419.1500244140625,280
2025-04-08 09:20:00+05:30,1422.050048828125,1422.6500244140625,1421.1500244140625,1422.6500244140625,179
2025-04-08 09:21:00+05:30,1419.0,1423.0,1419.0,1420.800048828125,272
2025-04-08 09:22:00+05:30,1423.699951171875,1423.699951171875,1416.800048828125,1417.550048828125,524
2025-04-08 09:23:00+05:30,1420.0,1423.800048828125,1420.0,1423.800048828125,121
2025-04-08 09:24:00+05:30,1421.0999755859375,1423.800048828125,1417.800048828125,1419.0,1309
2025-04-08 09:25:00+05:30,1422.449951171875,1422.449951171875,1420.949951171875,1421.5999755859375,156
2025-04-08 09:26:00+05:30,1425.75,1425.75,1425.0,1425.0,1844
2025-04-08 09:27:00+05:30,1429.25,1430.0,1427.0,1428.3499755859375,333
2025-04-08 09:28:00+05:30,1428.4000244140625,1428.75,1427.0,1428.5999755859375,409
2025-04-08 09:29:00+05:30,1430.0,1430.0,1427.3499755859375,1427.3499755859375,805
2025-04-08 09:30:00+05:30,1430.800048828125,1431.699951171875,1430.800048828125,1431.449951171875,364
2025-04-08 09:31:00+05:30,1431.25,1431.25,1429.550048828125,1429.550048828125,222
2025-04-08 09:32:00+05:30,1428.550048828125,1431.0999755859375,1428.550048828125,1431.0999755859375,100
2025-04-08 09:33:00+05:30,1423.0,1427.6500244140625,1423.0,1427.6500244140625,637
2025-04-08 09:34:00+05:30,1424.5999755859375,1425.4000244140625,1424.25,1424.25,13
2025-04-08 09:35:00+05:30,1427.3499755859375,1427.3499755859375,1422.9000244140625,1424.8499755859375,954
2025-04-08 09:36:00+05:30,1425.199951171875,1427.0,1425.199951171875,1427.0,28
2025-04-08 09:37:00+05:30,1424.0,1424.699951171875,1424.0,1424.699951171875,117
2025-04-08 09:38:00+05:30,1422.5,1424.199951171875,1422.5,1424.199951171875,402
2025-04-08 09:39:00+05:30,1426.8499755859375,1426.8499755859375,1423.8499755859375,1423.8499755859375,193
2025-04-08 09:40:00+05:30,1423.6500244140625,1426.25,1423.6500244140625,1426.25,103
2025-04-08 09:41:00+05:30,1423.699951171875,1424.6500244140625,1423.699951171875,1424.6500244140625,57
2025-04-08 09:42:00+05:30,1424.949951171875,1424.949951171875,1424.4000244140625,1424.4000244140625,295
2025-04-08 09:43:00+05:30,1425.550048828125,1426.8499755859375,1425.550048828125,1426.8499755859375,47
2025-04-08 09:44:00+05:30,1424.0,1428.1500244140625,1424.0,1428.1500244140625,314
2025-04-08 09:45:00+05:30,1424.0,1424.0,1424.0,1424.0,7
2025-04-08 09:46:00+05:30,1426.4000244140625,1426.4000244140625,1425.1500244140625,1425.1500244140625,59
2025-04-08 09:47:00+05:30,1426.699951171875,1426.699951171875,1426.300048828125,1426.4000244140625,206
2025-04-08 09:48:00+05:30,1428.1500244140625,1428.1500244140625,1428.1500244140625,1428.1500244140625,53
2025-04-08 09:49:00+05:30,1427.550048828125,1428.0999755859375,1427.550048828125,1428.0999755859375,82
